"rules" "support" "confidence" "coverage" "lift" "count"
"1" "{bags} => {yogurt}" 0.000133663035487536 0.5 0.000267326070975072 5.82217898832685 2
"2" "{liqueur} => {yogurt}" 0.000133663035487536 0.222222222222222 0.000601483659693912 2.58763510592304 2
"3" "{liqueur} => {whole milk}" 0.000133663035487536 0.222222222222222 0.000601483659693912 1.40715662763907 2
"4" "{hair spray} => {whole milk}" 0.000133663035487536 0.222222222222222 0.000601483659693912 1.40715662763907 2
"5" "{rubbing alcohol} => {domestic eggs}" 0.000133663035487536 0.4 0.00033415758871884 10.7841441441441 2
"6" "{rubbing alcohol} => {frankfurter}" 0.000133663035487536 0.4 0.00033415758871884 10.5932743362832 2
"7" "{rubbing alcohol} => {shopping bags}" 0.000133663035487536 0.4 0.00033415758871884 8.4061797752809 2
"8" "{rubbing alcohol} => {whole milk}" 0.000133663035487536 0.4 0.00033415758871884 2.53288192975032 2
"9" "{whisky} => {specialty chocolate}" 0.000133663035487536 0.25 0.000534652141950144 15.6516736401674 2
"10" "{whisky} => {pastry}" 0.000133663035487536 0.25 0.000534652141950144 4.83301033591731 2
"11" "{whisky} => {root vegetables}" 0.000133663035487536 0.25 0.000534652141950144 3.59341978866475 2
"12" "{decalcifier} => {whipped/sour cream}" 0.000133663035487536 0.222222222222222 0.000601483659693912 5.08426775399252 2
"13" "{decalcifier} => {root vegetables}" 0.000133663035487536 0.222222222222222 0.000601483659693912 3.19415092325755 2
"14" "{specialty vegetables} => {yogurt}" 0.000200494553231304 0.272727272727273 0.000735146695181448 3.17573399363283 3
"15" "{organic products} => {chicken}" 0.000133663035487536 0.2 0.00066831517743768 7.17649880095923 2
"16" "{organic products} => {whole milk}" 0.000133663035487536 0.2 0.00066831517743768 1.26644096487516 2
"17" "{cream} => {newspapers}" 0.000200494553231304 0.25 0.000801978212925216 6.42740549828179 3
"18" "{cream} => {sausage}" 0.000200494553231304 0.25 0.000801978212925216 4.14258028792913 3
"19" "{honey} => {sausage}" 0.000200494553231304 0.230769230769231 0.000868809730668983 3.82392026578073 3
"20" "{honey} => {whole milk}" 0.000200494553231304 0.230769230769231 0.000868809730668983 1.46127803639441 3
"21" "{ready soups} => {whole milk}" 0.000267326070975072 0.266666666666667 0.00100247276615652 1.68858795316688 4
"22" "{cookware} => {whole milk}" 0.000267326070975072 0.235294117647059 0.00113613580164406 1.48993054691195 4
"23" "{syrup} => {whole milk}" 0.000400989106462608 0.285714285714286 0.00140346187261913 1.80920137839308 6
"24" "{prosecco} => {sausage}" 0.000267326070975072 0.210526315789474 0.00126979883713159 3.48848866351926 4
"25" "{prosecco} => {other vegetables}" 0.000267326070975072 0.210526315789474 0.00126979883713159 1.72419554633711 4
"26" "{canned fruit} => {whole milk}" 0.000400989106462608 0.285714285714286 0.00140346187261913 1.80920137839308 6
"27" "{light bulbs} => {whole milk}" 0.000467820624206376 0.241379310344828 0.00193811401456927 1.52846323347002 7
"28" "{artif. sweetener} => {soda}" 0.000467820624206376 0.241379310344828 0.00193811401456927 2.48572513467974 7
"29" "{artif. sweetener} => {whole milk}" 0.000534652141950144 0.275862068965517 0.00193811401456927 1.74681512396574 8
"30" "{brandy} => {whole milk}" 0.000868809730668983 0.342105263157895 0.00253959767426318 2.16628059781277 13
"31" "{spices} => {soda}" 0.000601483659693912 0.225 0.00267326070975072 2.31705092911218 9
"32" "{softener} => {whole milk}" 0.000801978212925216 0.292682926829268 0.00274009222749449 1.85332824128072 12
"33" "{house keeping products} => {whole milk}" 0.000735146695181448 0.244444444444444 0.00300741829846956 1.54787229040297 11
"34" "{finished products} => {whole milk}" 0.000868809730668983 0.203125 0.00427721713560115 1.28622910495133 13
"282" "{candles,tropical fruit} => {whole milk}" 0.000133663035487536 0.4 0.00033415758871884 2.53288192975032 2
"283" "{candles,yogurt} => {whole milk}" 0.000133663035487536 0.285714285714286 0.000467820624206376 1.80920137839308 2
"356" "{dish cleaner,waffles} => {whole milk}" 0.000133663035487536 0.5 0.000267326070975072 3.1661024121879 2
"357" "{dish cleaner,newspapers} => {whole milk}" 0.000133663035487536 0.5 0.000267326070975072 3.1661024121879 2
"385" "{hamburger meat,pet care} => {whole milk}" 0.000133663035487536 0.666666666666667 0.000200494553231304 4.2214698829172 2
"386" "{curd,pet care} => {whole milk}" 0.000133663035487536 1 0.000133663035487536 6.33220482437579 2
"391" "{bottled water,pet care} => {whole milk}" 0.000133663035487536 0.4 0.00033415758871884 2.53288192975032 2
"396" "{pet care,root vegetables} => {whole milk}" 0.000133663035487536 0.333333333333333 0.000400989106462608 2.1107349414586 2
"418" "{chocolate,sweet spreads} => {tropical fruit}" 0.000133663035487536 0.666666666666667 0.000200494553231304 9.83760683760684 2
"421" "{pip fruit,sweet spreads} => {tropical fruit}" 0.000133663035487536 0.25 0.000534652141950144 3.68910256410256 2
"426" "{sausage,sweet spreads} => {tropical fruit}" 0.000133663035487536 0.5 0.000267326070975072 7.37820512820513 2
"427" "{sweet spreads,yogurt} => {tropical fruit}" 0.000133663035487536 0.4 0.00033415758871884 5.9025641025641 2
"428" "{sweet spreads,whole milk} => {tropical fruit}" 0.000133663035487536 0.2 0.00066831517743768 2.95128205128205 2
"437" "{canned vegetables,frankfurter} => {whole milk}" 0.000133663035487536 0.4 0.00033415758871884 2.53288192975032 2
"442" "{bottled water,canned vegetables} => {whole milk}" 0.000133663035487536 0.5 0.000267326070975072 3.1661024121879 2
"443" "{canned vegetables,root vegetables} => {whole milk}" 0.000133663035487536 0.4 0.00033415758871884 2.53288192975032 2
"444" "{canned vegetables,rolls/buns} => {whole milk}" 0.000133663035487536 0.333333333333333 0.000400989106462608 2.1107349414586 2
"488" "{long life bakery product,turkey} => {whole milk}" 0.000133663035487536 0.666666666666667 0.000200494553231304 4.2214698829172 2
"495" "{pork,turkey} => {whole milk}" 0.000133663035487536 1 0.000133663035487536 6.33220482437579 2
"498" "{citrus fruit,turkey} => {whole milk}" 0.000133663035487536 1 0.000133663035487536 6.33220482437579 2
"520" "{mustard,pip fruit} => {whole milk}" 0.000133663035487536 0.5 0.000267326070975072 3.1661024121879 2
"523" "{bottled water,mustard} => {whole milk}" 0.000133663035487536 0.285714285714286 0.000467820624206376 1.80920137839308 2
"526" "{mustard,root vegetables} => {whole milk}" 0.000133663035487536 0.4 0.00033415758871884 2.53288192975032 2
"527" "{mustard,rolls/buns} => {whole milk}" 0.000133663035487536 0.222222222222222 0.000601483659693912 1.40715662763907 2
"528" "{mustard,other vegetables} => {whole milk}" 0.000133663035487536 0.333333333333333 0.000400989106462608 2.1107349414586 2
"537" "{cake bar,curd} => {whole milk}" 0.000133663035487536 0.4 0.00033415758871884 2.53288192975032 2
"552" "{cake bar,tropical fruit} => {whole milk}" 0.000133663035487536 0.285714285714286 0.000467820624206376 1.80920137839308 2
"557" "{frozen dessert,grapes} => {whole milk}" 0.000133663035487536 0.666666666666667 0.000200494553231304 4.2214698829172 2
"560" "{beef,frozen dessert} => {whole milk}" 0.000133663035487536 0.5 0.000267326070975072 3.1661024121879 2
"563" "{frozen dessert,pork} => {whole milk}" 0.000133663035487536 0.4 0.00033415758871884 2.53288192975032 2
"566" "{frozen dessert,whipped/sour cream} => {whole milk}" 0.000133663035487536 0.5 0.000267326070975072 3.1661024121879 2
